id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),last_update
Agats_2023-11-18T18:53:54,Agats,52*,Angin berputar 276 derajat,5.1 km/h,1010 mbar,2023-11-18 18:53:54
Biak_2023-11-18T18:53:54,Biak,29*,Angin berputar 76 derajat,11.6 km/h,1010 mbar,2023-11-18 18:53:54
Jayapura_2023-11-18T18:53:54,Jayapura,60,Angin berputar 56 derajat,11.9 km/h,1012 mbar,2023-11-18 18:53:54
Nabire_2023-11-18T18:53:54,Nabire,41*,Angin berputar 29 derajat,5.9 km/h,1010 mbar,2023-11-18 18:53:54
Serui_2023-11-18T18:53:54,Serui,29*,Angin berputar 56 derajat,10.5 km/h,1011 mbar,2023-11-18 18:53:54
Jayapura_2023-11-18T18:53:54,Jayapura,60,Angin berputar 56 derajat,11.9 km/h,1012 mbar,2023-11-18 18:53:54
Nabire_2023-11-18T18:53:54,Nabire,41*,Angin berputar 29 derajat,5.9 km/h,1010 mbar,2023-11-18 18:53:54
Sarmi_2023-11-18T18:53:54,Sarmi,33*,Angin berputar 113 derajat,11.2 km/h,1011 mbar,2023-11-18 18:53:54
Sorong_2023-11-18T18:53:54,Sorong,62,Angin berputar 228 derajat,9.3 km/h,1009 mbar,2023-11-18 18:53:54
Kaimana_2023-11-18T18:53:54,Kaimana,32*,Angin berputar 156 derajat,14.1 km/h,1010 mbar,2023-11-18 18:53:54
Manokwari_2023-11-18T18:53:54,Manokwari,57,Angin berputar 282 derajat,2.7 km/h,1010 mbar,2023-11-18 18:53:54
Sorong_2023-11-18T18:53:54,Sorong,62,Angin berputar 228 derajat,9.3 km/h,1009 mbar,2023-11-18 18:53:54
Kaimana_2023-11-18T18:53:54,Kaimana,32*,Angin berputar 156 derajat,14.1 km/h,1010 mbar,2023-11-18 18:53:54
Manokwari_2023-11-18T18:53:54,Manokwari,57,Angin berputar 282 derajat,2.7 km/h,1010 mbar,2023-11-18 18:53:54
Sorong_2023-11-18T18:53:54,Sorong,62,Angin berputar 228 derajat,9.3 km/h,1009 mbar,2023-11-18 18:53:54
Bengkalis_2023-11-18T18:53:54,Bengkalis,27*,Angin berputar 40 derajat,11.3 km/h,1009 mbar,2023-11-18 18:53:54
Dumai_2023-11-18T18:53:54,Dumai,43,Angin berputar 358 derajat,5.6 km/h,1009 mbar,2023-11-18 18:53:54
Pekanbaru_2023-11-18T18:53:54,Pekanbaru,36,Angin berputar 7 derajat,7.4 km/h,1007 mbar,2023-11-18 18:53:54
Majene_2023-11-18T18:53:54,Majene,40*,Angin berputar 186 derajat,5.7 km/h,1009 mbar,2023-11-18 18:53:54
Mamasa_2023-11-18T18:53:54,Mamasa,32*,Angin berputar 201 derajat,2.2 km/h,1013 mbar,2023-11-18 18:53:54
Mamuju_2023-11-18T18:53:54,Mamuju,12,Angin berputar 69 derajat,11.2 km/h,1009 mbar,2023-11-18 18:53:54
Bantaeng_2023-11-18T18:53:54,Bantaeng,44*,Angin berputar 189 derajat,2.9 km/h,1010 mbar,2023-11-18 18:53:54
Barru_2023-11-18T18:53:54,Barru,44*,Angin berputar 256 derajat,7.9 km/h,1009 mbar,2023-11-18 18:53:54
Bulukumba_2023-11-18T18:53:54,Bulukumba,44*,Angin berputar 197 derajat,6.7 km/h,1009 mbar,2023-11-18 18:53:54
Enrekang_2023-11-18T18:53:54,Enrekang,37*,Angin berputar 223 derajat,0.4 km/h,1011 mbar,2023-11-18 18:53:54
